uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,eventID,processingDate,massSampleIDList,massSampleMixtureID,cnSampleID,cnSampleCode,ligninSampleID,ligninSampleBarcode,archiveSampleID,archiveSampleBarcode,bgcArchiveMass,toxicodendronPossible,remarks,processedBy,publicationDate,release
a6439a58-e7d1-4c72-a790-c9b002560581,BART_036.basePlot.ltr,D01,BART,BART_036,2021-10-26,2022-04-12,LTR.2022.BART.15,2022-11-02,NEON.LTR.BART036151.20220412.TWI,NEON.LTR.BART.2022.TWI,NEON.LTR.BART.2022.TWI.CN,A00000154995,NEON.LTR.BART.2022.TWI.LIG,A00000154965,NEON.LTR.BART.2022.TWI.AR,A00000154951,4.95,N,NA,0000-0002-7782-1339,20251206T063442Z,RELEASE-2026
0194e92f-72e0-4c81-b78e-a986a68958af,BART_036.basePlot.ltr,D01,BART,BART_036,2021-10-26,2022-04-12,LTR.2022.BART.15,2022-11-02,NEON.LTR.BART036151.20220412.MXT,NEON.LTR.BART.2022.MXT,NEON.LTR.BART.2022.MXT.CN,A00000154999,NEON.LTR.BART.2022.MXT.LIG,A00000154997,NEON.LTR.BART.2022.MXT.AR,A00000154932,5.89,N,NA,0000-0002-7782-1339,20251206T063442Z,RELEASE-2026
de447af8-5699-4cf3-b371-7fb97f8a129a,BART_036.basePlot.ltr,D01,BART,BART_036,2021-10-26,2022-04-12,LTR.2022.BART.15,2022-11-02,NEON.LTR.BART036151.20220412.WDY,NEON.LTR.BART.2022.WDY,NEON.LTR.BART.2022.WDY.CN,A00000154916,NEON.LTR.BART.2022.WDY.LIG,A00000154981,NEON.LTR.BART.2022.WDY.AR,A00000154967,9.24,N,NA,0000-0002-7782-1339,20251206T063442Z,RELEASE-2026
1f3421f4-06df-4f40-9cda-f82328fa1bc3,BART_071.basePlot.ltr,D01,BART,BART_071,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART071382.20161010.LVS|NEON.LTR.BART071952.20161010.LVS,NEON.LTR.BART071.20161010.LVS,NEON.LTR.BART071.20161010.LVS.CN,NA,NA,NA,NEON.LTR.BART071.20161010.LVS.AR,A00000368116,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
949c5085-de95-4474-aaa0-4703aa615920,BART_073.basePlot.ltr,D01,BART,BART_073,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART073539.20161010.NDL|NEON.LTR.BART073409.20161010.NDL,NEON.LTR.BART073.20161010.NDL,NEON.LTR.BART073.20161010.NDL.CN,NA,NEON.LTR.BART073.20161010.NDL.LIG,NA,NA,NA,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
70f57063-9416-4ced-ab18-9a502c3b1280,BART_041.basePlot.ltr,D01,BART,BART_041,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART041292.20161010.LVS,NEON.LTR.BART041.20161010.LVS,NEON.LTR.BART041.20161010.LVS.CN,NA,NA,NA,NEON.LTR.BART041.20161010.LVS.AR,A00000368128,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
4f06d5fc-ab32-4899-a561-f21667194bf4,BART_034.basePlot.ltr,D01,BART,BART_034,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART034451.20161010.LVS|NEON.LTR.BART034531.20161010.LVS,NEON.LTR.BART034.20161010.LVS,NEON.LTR.BART034.20161010.LVS.CN,NA,NA,NA,NEON.LTR.BART034.20161010.LVS.AR,A00000368134,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
0b655dd2-e3a6-4089-8457-ba612cf2c964,BART_041.basePlot.ltr,D01,BART,BART_041,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART041292.20161010.NDL,NEON.LTR.BART041.20161010.NDL,NEON.LTR.BART041.20161010.NDL.CN,NA,NA,NA,NEON.LTR.BART041.20161010.NDL.AR,A00000368127,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
dd768232-21ea-4f03-a398-c7776e546409,BART_039.basePlot.ltr,D01,BART,BART_039,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART039930.20161010.LVS,NEON.LTR.BART039.20161010.LVS,NEON.LTR.BART039.20161010.LVS.CN,NA,NA,NA,NEON.LTR.BART039.20161010.LVS.AR,A00000368131,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
9e67cf85-2667-4cbc-b08e-628ac3f701f2,BART_039.basePlot.ltr,D01,BART,BART_039,2016-09-19,2016-10-10,NA,2016-11-17,NEON.LTR.BART039930.20161010.NDL,NEON.LTR.BART039.20161010.NDL,NEON.LTR.BART039.20161010.NDL.CN,NA,NA,NA,NEON.LTR.BART039.20161010.NDL.AR,A00000368130,NA,NA,NA,mday@field-ops.org,20251204T224617Z,RELEASE-2026
